numero_emenda;exercicio;subacao;unidade_gestora;credor;valor_empenhado;obs
357;2025;"ELR8 - EMENDA DERIVADA 30009/2024";"FUNDO ESTADUAL DE SAÚDE";"08187800000175 - INSTITUTO SOS MAO CRIANCA - ISMC";50000;"SOF  548/2024 - SES - NUGEP. NOTA TÉCNICA Nº 480/2024. EMENDA PARLAMENTAR Nº 357 REFERENTE A AQUISIÇÃO DE EQUIPAMENTOS QUE SERÃO UTILIZADOS NOS ATENDIMENTOS CIRÚRGICOS."
361;2025;"EKCG - EMENDA DERIVADA 4043/2023";"FUNDO ESTADUAL DE SAÚDE";"11292383000135 - FUNDO MUNICIPAL DE SAUDE DE SOLIDAO";200000;"2300000029.004051/2023-65. OFÍCIO SNº/2023 (40929733). SOF  254/2023 - SES - NUGEP. EMENDA PARLAMENTAR Nº 361/23 OBJETIVANDO A AQUISIÇÃO DE AMBULÂNCIAS PARA ATENDER A DEMANDAS DE ATENDIMENTO A SAÚDE NO MUNICÍPIO"
410;2025;"ELIL - EMENDA DERIVADA 10023/2024";"FUNDO ESTADUAL DE SAÚDE";"10894988000133 - SOCIEDADE PERNAMBUCANA DE COMBATE AO CANCER";50000;"SOF 82/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA JURÍDICA DE CONVÊNIO, PARCERIAS E CONTRATOS DE GESTÃO - Nº 373/2024. EMENDA PARLAMENTAR Nº 410 OBJETIVANDO A AQUISIÇÃO DE UNSUMOS GERAIS, INSUMOS HOSPITALARES E MEDICAMENTOS."
439;2025;"EJOM - EMENDA DERIVADA 9043/2022";"FUNDO ESTADUAL DE SAÚDE";"35667229000169 - FUNDO MUNICIPAL DE SAUDE DE QUIXABA";0;"2300000029.003874/2022-92. OFÍCIO GP N° 087/2022. SOF  231/2022 - SES - NUGEP. EMENDA PARLAMENTAR Nº 439/22 OBJETIVANDO A AQUISIÇÃO DE VEÍCULO TIPO AMBULÂNCIA PARA TRANSPORTE DE PACIENTES DO MUNICÍPIO DE QUIXABÁ/PE."
473;2025;"ELTE - EMENDA DERIVADA 40050/2024";"FUNDO ESTADUAL DE SAÚDE";"11754025000105 - ASSOC DE PROT A MATERNIDADE E A INFANCIA DE SURUBIM";196333.33;"SOF 557/24-NUGEP. NOTA TÉCNICA - SES - DIRETORIA GERAL DE ASSISTÊNCIA INTEGRAL À SAÚDE - LINHAS DE CUIDADOS - Nº 127/2024. EMENDA PARLAMENTAR Nº 473 REFERENTE A AQUISIÇÃO APARELHO DE ULTRASSOM."
487;2025;"ELPE - EMENDA DERIVADA 20092/2024";"FUNDO ESTADUAL DE SAÚDE";"10894988000133 - SOCIEDADE PERNAMBUCANA DE COMBATE AO CANCER";90000;"SOF 747/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA JURÍDICA DE CONVÊNIO, PARCERIAS E CONTRATOS DE GESTÃO - Nº 373/2024. EMENDA PARLAMENTAR Nº 487 OBJETIVANDO A AQUISIÇÃO DE UNSUMOS GERAIS, INSUMOS HOSPITALARES E MEDICAMENTOS."
521;2025;"ELIO - EMENDA DERIVADA 10027/2024";"FUNDO ESTADUAL DE SAÚDE";"19796243000106 - ONG - MOVIMENTO COMUNITARIO - MC PROJETO SAUDE PARA TODOS";400000;"SOF  99/2024 - SES  - NUGEP. NOTA TÉCNICA 46874588. EMENDA PARLAMENTAR Nº 521 OBJETIVANDO REALIZAR CONSULTAS OFTALMOLÓGICAS E OBTER DIAGNÓSTICOS (PROJETO SAÚDE NOS OLHOS, PRIORIDADE SEMPRE XIV !)"
688;2025;"ELR4 - EMENDA DERIVADA 30005/2024";"FUNDO ESTADUAL DE SAÚDE";"10298546000124 - FUNDO MUNICIPAL DE SAUDE DE CUSTODIA";230000;"SOF  695/2024 - NUGEP, NOTA TÉCNICA 108, Nº EMENDA 688, AQUISIÇÃO DE MEDICAMENTOS PARA ASSISTENCIA FARMACEUTICA DO MUNICIPIO. GARANTINDO ASSISTENCIAL INTEGRAL"
709;2025;"ELQ7 - EMENDA DERIVADA 20095/2024";"FUNDO ESTADUAL DE SAÚDE";"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO";50000;"SOF 766/24-NUGEP. NOTA TÉCNICA - SES - DIRETORIA GERAL DE ASSISTÊNCIA INTEGRAL À SAÚDE - LINHAS DE CUIDADOS - Nº 152/2024. EMENDA PARLAMENTAR Nº 709 REFERENTE AO PROJETO ""ENXERGAR: RESTAURAR A VISÃO E  A QUALIDADE DE VIDA""."
722;2025;"EM6G - EMENDA DERIVADA 90044/2024";"FUNDO ESTADUAL DE SAÚDE";"11683042000190 - UNIAO BENEFICENTE DOS TRABALHADORES DO MORENO";50000;"SOF Nº 843/24- NUGEP. NOTA TÉCNICA-SES-SUPERINTENDÊNCIA DE ACOMPANHAMENTO DE METAS DA ASSISTÊNCIA FARMACÊUTICA - Nº 36/2024. EMENDA PARLAMENTAR Nº 722 REFERENTE AO CUSTEIO DE COMPRESSAS DE GAZE E COMPRESSAS CIRÚRGICAS PARA O HOSPITAL ARMINDO MOURA."
730;2025;"ELJ7 - EMENDA DERIVADA 10017/2024";"FUNDO ESTADUAL DE SAÚDE";"10477153000188 - FUNDO MUNICIPAL DE SAUDE DE LAGOA DO OURO";272000;"SOF 480/2024 NUGEP/SEAF. NOTA TÉCNICA Nº 99/2024/DGAIS/GUE. EMENDA PARLAMENTAR Nº 730 OBJETIVANDO A AQUISIÇÃO DE DUAS AMBULÂNCIAS PARA TRANSPORTAR PACIENTES DO MUNICÍPIO DE LAGOA DO OURO."
731;2025;"ELJD - EMENDA DERIVADA 10074/2024";"FUNDO ESTADUAL DE SAÚDE";"11209728000144 - FUNDO MUNICIPAL DE SAUDE DE IATI";272000;"SOF  279/2024 - SES - NUGEP. NOTA TÉCNICA Nº 59/2024 (48782049). EMENDA PARLAMENTAR Nº 731 REFERENTE A AQUISIÇÃO DE DUAS AMBULÂNCIAS."
847;2025;"EM1E - EMENDA DERIVADA 50130/2024";"FUNDO ESTADUAL DE SAÚDE";"35673300000116 - LIGA NORDESTINA DE ASSITENCIA EDUCACAO E SAUDE";99999.6;"SOF 78/24-NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 136/2024. EMENDA PARLAMENTAR Nº 847 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS"
898;2025;"ELXK - EMENDA DERIVADA 40166/2024";"FUNDO ESTADUAL DE SAÚDE";"11464118000197 - FUNDO MUNICIPAL DE SAUDE - LAGOA DE ITAENGA";129600;"SOF  517/2024 - SES - NUGEP. NOTA TÉCNICA Nº 7/2024. EMENDA PARLAMENTAR Nº 898 REFERENTE A AQUISIÇÃO DE UM VEÍCULO PARA TFD."
940;2025;"EM67 - EMENDA DERIVADA 90025/2024";"FUNDO ESTADUAL DE SAÚDE";"10894988000133 - SOCIEDADE PERNAMBUCANA DE COMBATE AO CANCER";60000;"SOF 845/24 - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 54/2024. EMENDA PARLAMENTAR Nº 940 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS."
947;2025;"EM5D - EMENDA DERIVADA 80008/2024";"FUNDO ESTADUAL DE SAÚDE";"08960773000121 - FUNDO MUNICIPAL DE SAUDE DE SAO BENTO DO UNA";196000;"SOF 775/24-NUGEP. NOTA TÉCNICA - SES - SUPERINTENDÊNCIA - ORGANIZAÇÃO SOCIAL DE SAÚDE - (ANTIGA DGAIS_OSS) - Nº 222/2024. EMENDA PARLAMENTAR Nº 947 REFERENTE A AQUISIÇÃO DE EQUIPAMENTOS PARA O HOSPITAL MUNICIPAL DR. JOSE ANTONIO DE SIQUEIRA NETO"
949;2025;"EM2N - EMENDA DERIVADA 60032/2024";"FUNDO ESTADUAL DE SAÚDE";"10480777000154 - FUNDO MUNICIPAL DE SAUDE DE JATAUBA";200000;"SOF 810/24-NUGEP. PARECER TÉCNICO Nº 50 (60272304). EMENDA PARLAMENTAR Nº 949 REF. A CONSTRUÇÃO DE 1 (UMA) UNIDADE BÁSICA DE SAÚDE NO SÍTIO MIMOSO"
951;2025;"EM68 - EMENDA DERIVADA 90063/2024";"FUNDO ESTADUAL DE SAÚDE";"11293112000102 - FUNDO MUNICIPAL DE SAUDE DE TUPARETAMA";150000;"SOF Nº 840/2024 - NUGEP. NOTA TÉCNICA Nº 76/2024. EMENDA PARLAMENTAR Nº 951 OBJETIVANDO A AQUISIÇÃO DE MEDICAMENTOS PARA ASSISTÊNCIA FARMACÊUTICA DO MUNICÍPIO."
970;2025;"EM12 - EMENDA DERIVADA 50132/2024";"FUNDO ESTADUAL DE SAÚDE";"11683174000112 - ASS. PROT.MATERNIDADE E A INFANCIA DA VITORIA ST ANTAO";73050;"SOF 504/24 - NUGEP.  NOTA TÉCNICA - SES - SUPERINTENDÊNCIA GERAL DE ASSISTÊNCIA REGIONAL - Nº 33/2024 (51124190). EMENDA PARLAMENTAR Nº 970 OBJETIVANDO A AQUISIÇÃO DE EQUIPAMENTOS (APARELHOS DE AR - CONDICIONADO SPLIT 12.000 BTUS)"
1059;2025;"ELS8 - EMENDA DERIVADA 30084/2024";"FUNDO ESTADUAL DE SAÚDE";"11208059000196 - FUNDO MUNICIPAL DE SAUDE DE INGAZEIRA";60000;"SOF  522/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 82/2024. EMENDA PARLAMENTAR Nº 1059 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS."
1096;2025;"EM4X - EMENDA DERIVADA 70008/2024";"FUNDO ESTADUAL DE SAÚDE";"11866365000110 - CENTRO HOSPITALAR SANTA MARIA";93000;"SOF 841/2024 - SES- NUGEP. NOTA TÉCNICA 59545012. EMENDA PARLAMENTAR Nº 1096 REFERENTE A COMPRA DE BISTURI ELÉTRICO E CAMA FAWLER PARA EQUIPAGEM DO CENTRO HOSPITALAR SANTA MARIA"
1132;2025;"ELWE - EMENDA DERIVADA 40090/2024";"FUNDO ESTADUAL DE SAÚDE";"11691937000177 - CENTRO DE CAPACITACAO E FORMACAO PUBLICA - CEFOP";299330;"SOF  630/2024 - NUGEP/SEAF. NOTA TÉCNICA  GESAM  Nº 124/2024. EMENDA PARLAMENTAR Nº 1132 REFERENTE AO PROJETO ""FELIZ IDADE"" QUE VISA FORMENTAR O CUIDADO COM A SAÚDE MENTAL DOS IDOSOS DO MUNICÍPIO DE RECIFE."
1166;2025;"EM3O - EMENDA DERIVADA 60045/2024";"FUNDO ESTADUAL DE SAÚDE";"07421280000150 - INSTITUTO DO FIGADO E TRANSPLANTE DE PERNAMBUCO - IFP";60000;"SOF  742/2024   NUGEP/SEAF. NOTA TÉCNICA Nº 108/2024. EMENDA PARLAMENTAR Nº 1166 REFERENTE A AQUISIÇÃO DE 02 EQUIPAMENTOS DE VÍDEOENDOSCOPIA E 01 EQUIPAMENTO DE PHMETRIA."
1184;2025;"ELDZ - EMENDA PARLAMENTAR NO.1184/2023";"FUNDO ESTADUAL DE SAÚDE";"11168783000133 - FUNDO MUNICIPAL DE SAUDE - CABO DE SANTO AGOSTINHO";1000000;"SOF  515/2024 - SES - NUGEP. NOTA TÉCNICA Nº 133/2024/DGAIS/GUE. EMENDA PARLAMENTAR Nº 1184 REFERENTE A AQUISIÇÃO DE DUAS AMBULÂNCIAS."
1185;2025;"ELE0 - EMENDA PARLAMENTAR NO.1185/2023";"FUNDO ESTADUAL DE SAÚDE";"12257765000190 - FUNDO MUNICIPAL DE SAUDE DE SAO LOURENCO DA MATA";500000;"SOF  359/2024 - NUGEP, NOTA TÉCNICA 72, Nº EMENDA 1185, AQUISIÇÃO DE 02 AMBULANCIAS PARA SUPRIR AS DEMANDAS DO MUNICÍPIO"
1206;2025;"ELEL - EMENDA PARLAMENTAR NO.1206/2023";"FUNDO ESTADUAL DE SAÚDE";"10395676000185 - FUNDO MUNICIPAL DE SAUDE - RIBEIRAO";100000;"SOF 471//24-NUGEP. NOTA TÉCNICA Nº 93/2024/DGAIS/GUE. EMENDA PARLAMENTAR Nº 1206 REFERENTE A AQUISIÇÃO DE AMBULÂNCIA"
1212;2025;"ELVG - EMENDA DERIVADA 40011/2024";"FUNDO ESTADUAL DE SAÚDE";"24262537000198 - INSTITUTO MEMORIAL DO AGRESTE - IMA";105322.72;"SOF  587/2024 - SES - NUGEP. NOTA TÉCNICA - SES - DIRETORIA GERAL DE ASSISTÊNCIA INTEGRAL À SAÚDE - LINHAS DE CUIDADOS - Nº 124/2024. EMENDA PARLAMENTAR Nº 1212 REF. A AQUISIÇÃOD E EQUIPAMENTOS PARA O HOSPITAL MEMORIAL DE PERNAMBUCO - HMP."
1215;2025;"EOVA - EMENDA PARLAMENTAR NO.1215/2025";"FUNDO ESTADUAL DE SAÚDE";"10785318000189 - FUNDO MUNICIPAL DE SAUDE DE SAO BENEDITO DO SUL";300000;"SOF 379/2026 - NUGEP/SFEP, Nº EMENDA 1215, PROJETO PARA AQUISIÇÃO DE 02 VEÍCULOS DO TIPO AMBULÂNCIA"
1227;2025;"ELF6 - EMENDA PARLAMENTAR NO.1227/2023";"FUNDO ESTADUAL DE SAÚDE";"11754025000105 - ASSOC DE PROT A MATERNIDADE E A INFANCIA DE SURUBIM";100000;"SOF  448/2024 - SES - NUGEP. NOTA TÉCNICA 51931469. EMENDA PARLAMENTAR Nº 1227 OBJETIVANDO A AQUISIÇÃO DE INSUMOS E MEDICAMENTOS FARMACÊUTICOS PARA A UNIDADE DE SAÚDE HOSPITAL SÃO LUIZ"
1230;2025;"ELF9 - EMENDA PARLAMENTAR NO.1230/2023";"FUNDO ESTADUAL DE SAÚDE";"10894988000133 - SOCIEDADE PERNAMBUCANA DE COMBATE AO CANCER";50000;"SOF 94/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA JURÍDICA DE CONVÊNIO, PARCERIAS E CONTRATOS DE GESTÃO - Nº 373/2024. EMENDA PARLAMENTAR Nº 1230 OBJETIVANDO A AQUISIÇÃO DE UNSUMOS GERAIS, INSUMOS HOSPITALARES E MEDICAMENTOS."
1232;2025;"ELFB - EMENDA PARLAMENTAR NO.1232/2023";"FUNDO ESTADUAL DE SAÚDE";"10480777000154 - FUNDO MUNICIPAL DE SAUDE DE JATAUBA";285709.2;"SOF  322/2024  NUGEP. NOTA TÉCNICA  SES GEPAF Nº 29/2024. EMENDA PARLAMENTAR Nº 1232 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS."
1252;2025;"ELSH - EMENDA DERIVADA 30045/2024";"FUNDO ESTADUAL DE SAÚDE";"10349041000141 - MUNICIPIO DE TABIRA";100000;"SOF  714/2024  NUGEP. NOTA TÉCNICA  GEPAF Nº 119/2024. EMENDA PARLAMENTAR Nº 1252 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS E INSUMOS."
1256;2025;"ELQ5 - EMENDA DERIVADA 20125/2024";"FUNDO ESTADUAL DE SAÚDE";"10635804000110 - FUNDO MUNICIPAL DE SAUDE DE JUCATI";400000;"SOF  700/2024 - NUGEP, NOTA TÉCNICA 111, Nº EMENDA 1256, AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACEUTICOS"
1258;2025;"ELXR - EMENDA DERIVADA 40097/2024";"FUNDO ESTADUAL DE SAÚDE";"02324776000192 - FUNDO MUNICIPAL DE SAUDE BELEM DE SAO FRANCISCO";100000;"SOF  545/2024 - NUGEP, Nº EMENDA 1258, NOTA TÉCNICA 122, AQUISIÇÃO DE MEDICAMENTOS E INSUMOS, VISANDO GARANTIR SERVIÇOS E PROCEDIMENTOS DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL HOSPITALAR"
1259;2025;"EM6Z - EMENDA DERIVADA 90043/2024";"FUNDO ESTADUAL DE SAÚDE";"07868234000102 - FUNDO MUNICIPAL DE SAUDE DE PAUDALHO";100000;"SOF  829/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 1 (60971196). EMENDA PARLAMENTAR Nº 1259 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS PARA AS UNIDADES DE SAÚDE DO MUNICÍPIO DE PAUDALHO."
1270;2025;"ELXV - EMENDA DERIVADA 40108/2024";"FUNDO ESTADUAL DE SAÚDE";"08720669000160 - INSTITUTO REVIVER BRASIL";179333.33;"SOF 529/24-NUGEP. NOTA TÉCNICA - SES - COORDENAÇÃO DE SAÚDE BUCAL - Nº 21/2024. EMENDA PARLAMENTAR Nº 1270 REFERENTE A AQUISIÇÃO DE UNIDADE MÓVEL ODONTOLÓGICA."
1271;2025;"EOWT - EMENDA PARLAMENTAR NO.1271/2025";"FUNDO ESTADUAL DE SAÚDE";"09188937000107 - FUNDO MUNICIPAL DE SAUDE DE TACARATU";500000;"SOF 118/2026 - NUGEP/SFEP, Nº EMENDA 1271, AQUISIÇÃO DE EQUIPAMENTOS MÉDICO-ASSISTENCIAIS, ODONTOLÓGICOS E MATERIAIS PERMANENTES ESSENCIAIS PARA ESTRUTURAÇÃO DAS UNIDADES BÁSICAS DE SAÚDE DO MUNICÍPIO DE TACARATU-PE"
1290;2025;"ELGX - EMENDA PARLAMENTAR NO.1290/2023";"SECRETARIA ESPECIAL DA MULHER";"43326670000105 - INSTITUTO REDE ARTE EMPREENDEDORA CULTURAL DE CARPINA /PE- IRAECC";70000;"EMPENHO DESTINA-SE ATENDER A RECEBIMENTO DE EMENDA PARLAMENTAR Nº 1290, SEI 4400000060.000806/2024-81"
1311;2025;"ELHI - EMENDA PARLAMENTAR NO.1311/2023";"FUNDO ESTADUAL DE SAÚDE";"10894988000133 - SOCIEDADE PERNAMBUCANA DE COMBATE AO CANCER";50000;"SOF 96/2024 - SES - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA JURÍDICA DE CONVÊNIO, PARCERIAS E CONTRATOS DE GESTÃO - Nº 373/2024. EMENDA PARLAMENTAR Nº 1311 OBJETIVANDO A AQUISIÇÃO DE UNSUMOS GERAIS, INSUMOS HOSPITALARES E MEDICAMENTOS."
1313;2025;"ELHK - EMENDA PARLAMENTAR NO.1313/2023";"FUNDO ESTADUAL DE SAÚDE";"07621798000138 - INSTITUTO OFTALMOLOGICO CARLOS CARVALHO";173050;"SOF 244/24-NUGEP. NOTA TÉCNICA - SES - DIRETORIA GERAL DE ASSISTÊNCIA INTEGRAL À SAÚDE - LINHAS DE CUIDADOS - Nº 152/2024. EMENDA PARLAMENTAR Nº 1313 REFERENTE AO PROJETO ""ENXERGAR: RESTAURAR A VISÃO E  A QUALIDADE DE VIDA""."
1349;2025;"EOYY - EMENDA PARLAMENTAR NO.1349/2025";"FUNDO ESTADUAL DE SAÚDE";"10395676000185 - FUNDO MUNICIPAL DE SAUDE - RIBEIRAO";142002;"SOF 157/2026 - NUGEP/SFEP, Nº EMENDA 1349, AQUISIÇÃO DE UMA AMBULANCIA PARA ATENDER AS NECESSIDADES DO MUNICIPIO"
1415;2025;"EP0S - EMENDA PARLAMENTAR NO.1415/2025";"FUNDO ESTADUAL DE SAÚDE";"09216627000159 - FUNDO MUNICIPAL DE SAUDE";150000;"SOF 90/2026 - NUGEP/SFEP,  Nº EMENDA 1415, AQUISIÇÃO DE 01 AMBULÂNCIA PARA ATENDER A POPULAÇÃO DO MUNICIPIO DE SANTA MARIA DA BOA VISTA-PE."
1429;2025;"EP16 - EMENDA PARLAMENTAR NO.1429/2025";"FUNDO ESTADUAL DE SAÚDE";"10685971000176 - FUNDO MUNICIPAL DE SAUDE DE SERRA TALHADA";150000;"SOF 78/26-NUGEP/SEAF Nº EMENDA 1429, AQUISIÇÃO DE 01 AMBULANCIA OBJETIVANDO OFERTAR UM MELHOR ATENDIMENTO A POPULAÇÃO DO MUNICIPIO DE SERRA TALHADA"
10132;2025;"EN8B - EMENDA DERIVADA 20004/2025";"FUNDO ESTADUAL DE SAÚDE";"10395676000185 - FUNDO MUNICIPAL DE SAUDE - RIBEIRAO";300000;"SOF 288/25 - NUGEP. NOTA TÉCNICA - SES - GERÊNCIA DA POLÍTICA DE ASSISTÊNCIA FARMACÊUTICA - Nº 43/2025. EMENDA PARLAMENTAR Nº 10132 REFERENTE A AQUISIÇÃO DE MEDICAMENTOS PARA USO E MELHORIA DA ASSISTÊNCIA EM SAÚDE DO MUNICÍPIO DE RIBEIRÃO-PE."
